seat_number,seat_coordinates,status
1,"[440, 640, 1262, 1465]",
2,"[429, 602, 1019, 1213]",
3,"[378, 576, 747, 943]",
4,"[362, 531, 510, 687]",
5,"[364, 497, 340, 501]",
6,"[390, 494, 207, 339]",
7,"[365, 470, 125, 200]",
