seat_number,seat_coordinates,status
1,"[308, 502, 358, 522]",Absent
2,"[361, 546, 593, 830]",Absent
3,"[360, 601, 988, 1163]",Absent
4,"[429, 641, 1290, 1557]",Absent
5,"[175, 284, 265, 431]",Absent
6,"[179, 293, 478, 596]",Absent
7,"[184, 345, 647, 844]",Absent
8,"[215, 353, 898, 1079]",Absent
9,"[235, 384, 1171, 1328]",Absent
10,"[255, 410, 1422, 1600]",Absent
