seat_number,seat_coordinates,status
1,"[431, 599, 178, 370]",
2,"[421, 596, 425, 636]",
3,"[430, 584, 688, 873]",
4,"[408, 577, 932, 1149]",
5,"[409, 546, 1132, 1329]",
6,"[353, 519, 1265, 1452]",
7,"[365, 496, 1428, 1553]",
