seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[333, 490, 549, 715]",snapshot_1,Absent,18-07-2024 11:32
2,"[327, 475, 774, 976]",snapshot_1,Absent,18-07-2024 11:32
3,"[300, 454, 968, 1136]",snapshot_1,Absent,18-07-2024 11:33
4,"[290, 441, 1162, 1335]",snapshot_1,Absent,18-07-2024 11:33
1,"[333, 490, 549, 715]",snapshot_2,Absent,18-07-2024 11:37
2,"[327, 475, 774, 976]",snapshot_2,Absent,18-07-2024 11:37
3,"[300, 454, 968, 1136]",snapshot_2,Absent,18-07-2024 11:37
4,"[290, 441, 1162, 1335]",snapshot_2,Absent,18-07-2024 11:37
1,"[333, 490, 549, 715]",snapshot_3,Absent,18-07-2024 11:40
2,"[327, 475, 774, 976]",snapshot_3,Absent,18-07-2024 11:40
3,"[300, 454, 968, 1136]",snapshot_3,Absent,18-07-2024 11:40
4,"[290, 441, 1162, 1335]",snapshot_3,Absent,18-07-2024 11:40
