seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time,camera
3,"[430, 584, 688, 873]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam4.csv
4,"[408, 577, 932, 1149]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam4.csv
5,"[409, 546, 1132, 1329]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam4.csv
6,"[353, 519, 1265, 1452]",snapshot_2,Absent,18-07-2024 11:37,transformed_cam4.csv
7,"[365, 496, 1428, 1553]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam4.csv
1,"[431, 599, 178, 370]",snapshot_3,Absent,18-07-2024 11:40,transformed_cam4.csv
2,"[421, 596, 425, 636]",snapshot_3,,,transformed_cam4.csv
3,"[430, 584, 688, 873]",snapshot_3,,,transformed_cam4.csv
4,"[408, 577, 932, 1149]",snapshot_3,,,transformed_cam4.csv
5,"[409, 546, 1132, 1329]",snapshot_3,,,transformed_cam4.csv
6,"[353, 519, 1265, 1452]",snapshot_3,,,transformed_cam4.csv
7,"[365, 496, 1428, 1553]",snapshot_3,,,transformed_cam4.csv
1,"[440, 640, 1262, 1465]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
2,"[429, 602, 1019, 1213]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
3,"[378, 576, 747, 943]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
4,"[362, 531, 510, 687]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
5,"[364, 497, 340, 501]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
6,"[390, 494, 207, 339]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
7,"[365, 470, 125, 200]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam5.csv
1,"[440, 640, 1262, 1465]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
2,"[429, 602, 1019, 1213]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
3,"[378, 576, 747, 943]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
4,"[362, 531, 510, 687]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
5,"[364, 497, 340, 501]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
6,"[390, 494, 207, 339]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
7,"[365, 470, 125, 200]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam5.csv
1,"[477, 637, 1450, 1586]",snapshot_1,Absent,18-07-2024 11:34,transformed_cam6.csv
1,"[477, 637, 1450, 1586]",snapshot_2,Absent,18-07-2024 11:38,transformed_cam6.csv
