seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[440, 640, 1262, 1465]",snapshot_1,Absent,18-07-2024 11:34
2,"[429, 602, 1019, 1213]",snapshot_1,Absent,18-07-2024 11:34
3,"[378, 576, 747, 943]",snapshot_1,Absent,18-07-2024 11:34
4,"[362, 531, 510, 687]",snapshot_1,Absent,18-07-2024 11:34
5,"[364, 497, 340, 501]",snapshot_1,Absent,18-07-2024 11:34
6,"[390, 494, 207, 339]",snapshot_1,Absent,18-07-2024 11:34
7,"[365, 470, 125, 200]",snapshot_1,Absent,18-07-2024 11:34
1,"[440, 640, 1262, 1465]",snapshot_2,Absent,18-07-2024 11:38
2,"[429, 602, 1019, 1213]",snapshot_2,Absent,18-07-2024 11:38
3,"[378, 576, 747, 943]",snapshot_2,Absent,18-07-2024 11:38
4,"[362, 531, 510, 687]",snapshot_2,Absent,18-07-2024 11:38
5,"[364, 497, 340, 501]",snapshot_2,Absent,18-07-2024 11:38
6,"[390, 494, 207, 339]",snapshot_2,Absent,18-07-2024 11:38
7,"[365, 470, 125, 200]",snapshot_2,Absent,18-07-2024 11:38
