seat_number,seat_coordinates,snapshot,Snapshot status,Snapshot Time
1,"[431, 599, 178, 370]",snapshot_1,Absent,18-07-2024 11:33
2,"[421, 596, 425, 636]",snapshot_1,Absent,18-07-2024 11:33
3,"[430, 584, 688, 873]",snapshot_1,Absent,18-07-2024 11:33
4,"[408, 577, 932, 1149]",snapshot_1,Absent,18-07-2024 11:33
5,"[409, 546, 1132, 1329]",snapshot_1,Absent,18-07-2024 11:33
6,"[353, 519, 1265, 1452]",snapshot_1,Absent,18-07-2024 11:33
7,"[365, 496, 1428, 1553]",snapshot_1,Absent,18-07-2024 11:33
1,"[431, 599, 178, 370]",snapshot_2,Absent,18-07-2024 11:37
2,"[421, 596, 425, 636]",snapshot_2,Absent,18-07-2024 11:37
3,"[430, 584, 688, 873]",snapshot_2,Absent,18-07-2024 11:37
4,"[408, 577, 932, 1149]",snapshot_2,Absent,18-07-2024 11:37
5,"[409, 546, 1132, 1329]",snapshot_2,Absent,18-07-2024 11:37
6,"[353, 519, 1265, 1452]",snapshot_2,Absent,18-07-2024 11:37
7,"[365, 496, 1428, 1553]",snapshot_2,Absent,18-07-2024 11:38
1,"[431, 599, 178, 370]",snapshot_3,Absent,18-07-2024 11:40
2,"[421, 596, 425, 636]",snapshot_3,,
3,"[430, 584, 688, 873]",snapshot_3,,
4,"[408, 577, 932, 1149]",snapshot_3,,
5,"[409, 546, 1132, 1329]",snapshot_3,,
6,"[353, 519, 1265, 1452]",snapshot_3,,
7,"[365, 496, 1428, 1553]",snapshot_3,,
