seat_number,seat_coordinates,status,snapshot,status,date_time,snapshot_1,snapshot_1_time,snapshot_2,snapshot_2_time,snapshot_3,snapshot_3_time
1,"[431, 599, 178, 370]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,Absent,18-07-2024 11:40
2,"[421, 596, 425, 636]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,,
3,"[430, 584, 688, 873]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,,
4,"[408, 577, 932, 1149]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,,
5,"[409, 546, 1132, 1329]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,,
6,"[353, 519, 1265, 1452]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:37,,
7,"[365, 496, 1428, 1553]",,,,,Absent,18-07-2024 11:33,Absent,18-07-2024 11:38,,
